study_accession	sample_accession	sample_title	sample_alias	run_accession	library_layout	read_count	submitted_bytes	fastq_bytes	fastq_ftp
PRJEB4336	SAMEA2147193	Stool sample from danish	MetaHIT-MH0005	ERR321072	PAIRED	9986235	386046386;439013918	422614112;474923378	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321072/ERR321072_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321072/ERR321072_2.fastq.gz
PRJEB4336	SAMEA2147193	Stool sample from danish	MetaHIT-MH0005	ERR321073	PAIRED	9714996	329358081;371563760	364685516;406895388	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321073/ERR321073_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321073/ERR321073_2.fastq.gz
PRJEB4336	SAMEA1970465	Stool sample from danish	MetaHIT-MH0006	ERR321074	PAIRED	9629949	355480694;403911765	390657270;438864407	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321074/ERR321074_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321074/ERR321074_2.fastq.gz
PRJEB4336	SAMEA1970465	Stool sample from danish	MetaHIT-MH0006	ERR321075	PAIRED	9480992	323135312;365726573	357616032;400168865	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321075/ERR321075_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321075/ERR321075_2.fastq.gz
PRJEB4336	SAMEA1970465	Stool sample from danish	MetaHIT-MH0006	ERR321076	PAIRED	14814589	1060023935;1048843904	1112931428;1102089337	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321076/ERR321076_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321076/ERR321076_2.fastq.gz
PRJEB4336	SAMEA1970465	Stool sample from danish	MetaHIT-MH0006	ERR321077	PAIRED	15627318	1116235890;1119019155	1174620651;1177794546	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321077/ERR321077_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321077/ERR321077_2.fastq.gz
PRJEB4336	SAMEA1970465	Stool sample from danish	MetaHIT-MH0006	ERR321078	PAIRED	15916662	1140386624;1141783192	1201503727;1202510975	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321078/ERR321078_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321078/ERR321078_2.fastq.gz
PRJEB4336	SAMEA1970465	Stool sample from danish	MetaHIT-MH0006	ERR321079	PAIRED	15103477	1076821762;1076220193	1134429504;1133552504	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321079/ERR321079_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321079/ERR321079_2.fastq.gz
PRJEB4336	SAMEA2148472	Stool sample from danish	MetaHIT-MH0007	ERR321080	PAIRED	8992507	301300685;331126753	333502093;363739950	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321080/ERR321080_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321080/ERR321080_2.fastq.gz
PRJEB4336	SAMEA2148472	Stool sample from danish	MetaHIT-MH0007	ERR321081	PAIRED	9483040	330679107;338566479	364959786;372826612	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321081/ERR321081_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321081/ERR321081_2.fastq.gz
PRJEB4336	SAMEA1970582	Stool sample from danish	MetaHIT-MH0008	ERR321082	PAIRED	9379083	329631116;369886106	363539721;403873370	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321082/ERR321082_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321082/ERR321082_2.fastq.gz
PRJEB4336	SAMEA1970582	Stool sample from danish	MetaHIT-MH0008	ERR321083	PAIRED	9698045	341967889;349823849	377166075;384911359	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321083/ERR321083_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321083/ERR321083_2.fastq.gz
PRJEB4336	SAMEA2144299	Stool sample from danish	MetaHIT-MH0009	ERR321084	PAIRED	4876142	184651870;193304991	203135176;211710863	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321084/ERR321084_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321084/ERR321084_2.fastq.gz
PRJEB4336	SAMEA2144299	Stool sample from danish	MetaHIT-MH0009	ERR321085	PAIRED	11283995	830079434;908958701	871944322;955349839	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321085/ERR321085_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321085/ERR321085_2.fastq.gz
PRJEB4336	SAMEA2144299	Stool sample from danish	MetaHIT-MH0009	ERR321086	PAIRED	13062929	1111052917;1118886502	1166646056;1174718859	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321086/ERR321086_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321086/ERR321086_2.fastq.gz
PRJEB4336	SAMEA2144302	Stool sample from danish	MetaHIT-MH0010	ERR321087	PAIRED	9217439	334810994;382292776	368175084;415641474	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321087/ERR321087_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321087/ERR321087_2.fastq.gz
PRJEB4336	SAMEA2144302	Stool sample from danish	MetaHIT-MH0010	ERR321088	PAIRED	10366076	341289787;383965167	379445741;422096088	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321088/ERR321088_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321088/ERR321088_2.fastq.gz
PRJEB4336	SAMEA2159553	Stool sample from danish	MetaHIT-MH0011	ERR321089	PAIRED	4956118	182618606;189126151	201472444;207913626	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321089/ERR321089_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321089/ERR321089_2.fastq.gz
PRJEB4336	SAMEA2159553	Stool sample from danish	MetaHIT-MH0011	ERR321090	PAIRED	11088635	804979821;888266408	845523368;933705655	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321090/ERR321090_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321090/ERR321090_2.fastq.gz
PRJEB4336	SAMEA2159553	Stool sample from danish	MetaHIT-MH0011	ERR321091	PAIRED	13201615	1090213540;1128028757	1145896276;1184348931	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321091/ERR321091_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321091/ERR321091_2.fastq.gz
PRJEB4336	SAMEA2161876	Stool sample from danish	MetaHIT-MH0012	ERR321092	PAIRED	5074119	184943886;189234944	204291929;208516942	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321092/ERR321092_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321092/ERR321092_2.fastq.gz
PRJEB4336	SAMEA2161876	Stool sample from danish	MetaHIT-MH0012	ERR321093	PAIRED	10687883	743736524;831898165	782047141;874401398	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321093/ERR321093_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321093/ERR321093_2.fastq.gz
PRJEB4336	SAMEA2161876	Stool sample from danish	MetaHIT-MH0012	ERR321094	PAIRED	13150141	1084579733;1122363141	1140005029;1178435281	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321094/ERR321094_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321094/ERR321094_2.fastq.gz
PRJEB4336	SAMEA2161876	Stool sample from danish	MetaHIT-MH0012	ERR321095	PAIRED	15824363	1127112009;1122385655	1183853663;1178806899	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321095/ERR321095_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321095/ERR321095_2.fastq.gz
PRJEB4336	SAMEA2161876	Stool sample from danish	MetaHIT-MH0012	ERR321096	PAIRED	16560727	1164405552;1169968703	1221268995;1227613601	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321096/ERR321096_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321096/ERR321096_2.fastq.gz
PRJEB4336	SAMEA2161876	Stool sample from danish	MetaHIT-MH0012	ERR321097	PAIRED	15771599	1140441585;1138451619	1199940152;1197649861	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321097/ERR321097_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321097/ERR321097_2.fastq.gz
PRJEB4336	SAMEA2161876	Stool sample from danish	MetaHIT-MH0012	ERR321098	PAIRED	15956567	1153820864;1151731633	1214339904;1211593228	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321098/ERR321098_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321098/ERR321098_2.fastq.gz
PRJEB4336	SAMEA2152467	Stool sample from danish	MetaHIT-MH0013	ERR321099	PAIRED	9976250	293802242;344371923	329388289;380389693	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321099/ERR321099_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321099/ERR321099_2.fastq.gz
PRJEB4336	SAMEA2152467	Stool sample from danish	MetaHIT-MH0013	ERR321100	PAIRED	10025992	327306095;371300112	363941653;408131183	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321100/ERR321100_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321100/ERR321100_2.fastq.gz
PRJEB4336	SAMEA1970897	Stool sample from danish	MetaHIT-MH0014	ERR321101	PAIRED	4778196	166974183;167809365	185364263;186096476	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321101/ERR321101_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321101/ERR321101_2.fastq.gz
PRJEB4336	SAMEA1970897	Stool sample from danish	MetaHIT-MH0014	ERR321102	PAIRED	10029059	651552075;760883908	687529123;799306469	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321102/ERR321102_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321102/ERR321102_2.fastq.gz
PRJEB4336	SAMEA1970897	Stool sample from danish	MetaHIT-MH0014	ERR321103	PAIRED	13340573	1132774031;1151517839	1189586291;1208608213	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321103/ERR321103_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321103/ERR321103_2.fastq.gz
PRJEB4336	SAMEA2151054	Stool sample from danish	MetaHIT-MH0015	ERR321104	PAIRED	7919622	255740795;269677979	284039121;298028061	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321104/ERR321104_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321104/ERR321104_2.fastq.gz
PRJEB4336	SAMEA2151054	Stool sample from danish	MetaHIT-MH0015	ERR321105	PAIRED	8586803	283089130;349320600	313823465;379646896	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321105/ERR321105_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321105/ERR321105_2.fastq.gz
PRJEB4336	SAMEA2149603	Stool sample from danish	MetaHIT-MH0016	ERR321106	PAIRED	4840022	169613965;168753151	188191405;187268776	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321106/ERR321106_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321106/ERR321106_2.fastq.gz
PRJEB4336	SAMEA2149603	Stool sample from danish	MetaHIT-MH0016	ERR321107	PAIRED	9033892	647889808;563842517	680296311;596167020	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321107/ERR321107_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321107/ERR321107_2.fastq.gz
PRJEB4336	SAMEA2149603	Stool sample from danish	MetaHIT-MH0016	ERR321108	PAIRED	13321829	1133816996;1155744243	1190510694;1212724843	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321108/ERR321108_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321108/ERR321108_2.fastq.gz
PRJEB4336	SAMEA2157270	Stool sample from danish	MetaHIT-MH0017	ERR321109	PAIRED	8569999	301337945;313075875	332141320;344089062	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321109/ERR321109_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321109/ERR321109_2.fastq.gz
PRJEB4336	SAMEA2157270	Stool sample from danish	MetaHIT-MH0017	ERR321110	PAIRED	9506335	308056991;398604347	342142008;432251038	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321110/ERR321110_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321110/ERR321110_2.fastq.gz
PRJEB4336	SAMEA2161087	Stool sample from danish	MetaHIT-MH0018	ERR321111	PAIRED	7982074	267186050;292636936	295932864;321155351	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321111/ERR321111_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321111/ERR321111_2.fastq.gz
PRJEB4336	SAMEA2161087	Stool sample from danish	MetaHIT-MH0018	ERR321112	PAIRED	10306709	348133734;460880946	385528675;497720516	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321112/ERR321112_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321112/ERR321112_2.fastq.gz
PRJEB4336	SAMEA2161917	Stool sample from danish	MetaHIT-MH0019	ERR321113	PAIRED	8426301	312261484;346379555	342205428;376330871	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321113/ERR321113_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321113/ERR321113_2.fastq.gz
PRJEB4336	SAMEA2161917	Stool sample from danish	MetaHIT-MH0019	ERR321114	PAIRED	11000692	387474803;523259214	427526092;563515056	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321114/ERR321114_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321114/ERR321114_2.fastq.gz
PRJEB4336	SAMEA1964270	Stool sample from danish	MetaHIT-MH0020	ERR321115	PAIRED	10094227	749855502;695875371	788177560;731883447	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321115/ERR321115_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321115/ERR321115_2.fastq.gz
PRJEB4336	SAMEA1964270	Stool sample from danish	MetaHIT-MH0020	ERR321116	PAIRED	12803061	1091737248;1110356695	1146108292;1164994567	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321116/ERR321116_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321116/ERR321116_2.fastq.gz
PRJEB4336	SAMEA2162138	Stool sample from danish	MetaHIT-MH0021	ERR321117	PAIRED	8958733	655684664;604997746	688474096;636705675	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321117/ERR321117_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321117/ERR321117_2.fastq.gz
PRJEB4336	SAMEA2162138	Stool sample from danish	MetaHIT-MH0021	ERR321118	PAIRED	4168325	156327959;179918059	172082975;195240315	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321118/ERR321118_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321118/ERR321118_2.fastq.gz
PRJEB4336	SAMEA2150310	Stool sample from danish	MetaHIT-MH0022	ERR321119	PAIRED	8315572	292888525;319371406	322574490;348950278	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321119/ERR321119_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321119/ERR321119_2.fastq.gz
PRJEB4336	SAMEA2150310	Stool sample from danish	MetaHIT-MH0022	ERR321120	PAIRED	10238632	344357974;464822653	381569785;501678497	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321120/ERR321120_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321120/ERR321120_2.fastq.gz
PRJEB4336	SAMEA2145251	Stool sample from danish	MetaHIT-MH0023	ERR321121	PAIRED	8974083	351941967;363585517	383780471;395502064	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321121/ERR321121_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321121/ERR321121_2.fastq.gz
PRJEB4336	SAMEA2145251	Stool sample from danish	MetaHIT-MH0023	ERR321122	PAIRED	9916363	327326689;436694994	363136761;471929387	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321122/ERR321122_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321122/ERR321122_2.fastq.gz
PRJEB4336	SAMEA2162297	Stool sample from danish	MetaHIT-MH0024	ERR321123	PAIRED	10710932	761222684;836126649	799562610;879235380	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321123/ERR321123_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321123/ERR321123_2.fastq.gz
PRJEB4336	SAMEA2162297	Stool sample from danish	MetaHIT-MH0024	ERR321124	PAIRED	16742504	909366076;1443541849	977568677;1515977069	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321124/ERR321124_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321124/ERR321124_2.fastq.gz
PRJEB4336	SAMEA2148374	Stool sample from danish	MetaHIT-MH0025	ERR321125	PAIRED	11437582	765676336;782058669	807063107;823482071	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321125/ERR321125_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321125/ERR321125_2.fastq.gz
PRJEB4336	SAMEA2148374	Stool sample from danish	MetaHIT-MH0025	ERR321126	PAIRED	16361297	889657876;1400660786	956191068;1471186698	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321126/ERR321126_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321126/ERR321126_2.fastq.gz
PRJEB4336	SAMEA2161309	Stool sample from danish	MetaHIT-MH0026	ERR321127	PAIRED	10893200	838121187;827998638	881311119;871071970	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321127/ERR321127_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321127/ERR321127_2.fastq.gz
PRJEB4336	SAMEA2161309	Stool sample from danish	MetaHIT-MH0026	ERR321128	PAIRED	7847511	516662948;528084001	544809221;555700144	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321128/ERR321128_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321128/ERR321128_2.fastq.gz
PRJEB4336	SAMEA2150994	Stool sample from danish	MetaHIT-MH0027	ERR321129	PAIRED	7399441	252039447;231863433	278456306;258204462	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321129/ERR321129_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321129/ERR321129_2.fastq.gz
PRJEB4336	SAMEA2150994	Stool sample from danish	MetaHIT-MH0027	ERR321130	PAIRED	8788241	286539441;374054334	318056450;405509129	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321130/ERR321130_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321130/ERR321130_2.fastq.gz
PRJEB4336	SAMEA2155745	Stool sample from danish	MetaHIT-MH0028	ERR321131	PAIRED	10317483	682213585;726891881	719182345;764067279	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321131/ERR321131_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321131/ERR321131_2.fastq.gz
PRJEB4336	SAMEA2155745	Stool sample from danish	MetaHIT-MH0028	ERR321132	PAIRED	17256242	937826336;1493966876	1008215402;1568751747	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321132/ERR321132_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321132/ERR321132_2.fastq.gz
PRJEB4336	SAMEA2153837	Stool sample from danish	MetaHIT-MH0030	ERR321133	PAIRED	10126724	764913467;755756684	804261742;794550997	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321133/ERR321133_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321133/ERR321133_2.fastq.gz
PRJEB4336	SAMEA2153837	Stool sample from danish	MetaHIT-MH0030	ERR321134	PAIRED	15672721	851514401;1343106021	915016872;1410565669	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321134/ERR321134_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321134/ERR321134_2.fastq.gz
PRJEB4336	SAMEA2150187	Stool sample from danish	MetaHIT-MH0031	ERR321135	PAIRED	10768394	786229121;837454732	826509080;880511258	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321135/ERR321135_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321135/ERR321135_2.fastq.gz
PRJEB4336	SAMEA2150187	Stool sample from danish	MetaHIT-MH0031	ERR321136	PAIRED	16987719	926816629;1472423605	996005101;1546032972	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321136/ERR321136_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321136/ERR321136_2.fastq.gz
PRJEB4336	SAMEA2163271	Stool sample from danish	MetaHIT-MH0032	ERR321137	PAIRED	9133455	665031644;630150659	698325529;662665260	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321137/ERR321137_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321137/ERR321137_2.fastq.gz
PRJEB4336	SAMEA2163271	Stool sample from danish	MetaHIT-MH0032	ERR321138	PAIRED	15913587	871071440;1365014280	935744139;1433655381	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321138/ERR321138_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321138/ERR321138_2.fastq.gz
PRJEB4336	SAMEA2146321	Stool sample from danish	MetaHIT-MH0033	ERR321139	PAIRED	9129898	672102490;644050401	706129540;677009636	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321139/ERR321139_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321139/ERR321139_2.fastq.gz
PRJEB4336	SAMEA2146321	Stool sample from danish	MetaHIT-MH0033	ERR321140	PAIRED	13366786	1143374669;1157699761	1200694238;1214958981	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321140/ERR321140_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321140/ERR321140_2.fastq.gz
PRJEB4336	SAMEA2154082	Stool sample from danish	MetaHIT-MH0034	ERR321141	PAIRED	4806843	412405660;410426904	432252327;430141945	ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321141/ERR321141_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/ERR321141/ERR321141_2.fastq.gz
