study_accession	sample_accession	sample_title	sample_alias	run_accession	library_layout	read_count	submitted_bytes	fastq_bytes	fastq_ftp
PRJEB5224	SAMEA2338632	Stool sample from danish	MH0260	ERR414241	PAIRED	39643242	2668091718;2708345592	2783585908;2823093214	ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414241/ERR414241_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414241/ERR414241_2.fastq.gz
PRJEB5224	SAMEA2338633	Stool sample from danish	MH0261	ERR414242	PAIRED	29701142	2019598530;2099043216	2108537539;2187170549	ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414242/ERR414242_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414242/ERR414242_2.fastq.gz
PRJEB5224	SAMEA2338634	Stool sample from danish	MH0262	ERR414243	PAIRED	28383413	1987258426;2056102883	2067601812;2134888852	ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414243/ERR414243_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414243/ERR414243_2.fastq.gz
PRJEB5224	SAMEA2338635	Stool sample from danish	MH0264	ERR414244	PAIRED	30600896	2088171611;2143640355	2176037165;2230329611	ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414244/ERR414244_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414244/ERR414244_2.fastq.gz
PRJEB5224	SAMEA2338636	Stool sample from danish	MH0265	ERR414245	PAIRED	33594871	2275903816;2308968960	2372815448;2405253916	ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414245/ERR414245_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414245/ERR414245_2.fastq.gz
PRJEB5224	SAMEA2338637	Stool sample from danish	MH0266	ERR414246	PAIRED	36780949	2508215055;2525025079	2614931023;2630864336	ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414246/ERR414246_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414246/ERR414246_2.fastq.gz
PRJEB5224	SAMEA2338638	Stool sample from danish	MH0268	ERR414247	PAIRED	35003247	2405668422;2455477651	2506540314;2555389190	ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414247/ERR414247_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414247/ERR414247_2.fastq.gz
PRJEB5224	SAMEA2338639	Stool sample from danish	MH0270	ERR414248	PAIRED	28559213	1941678897;2100311993	2023273521;2180035744	ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414248/ERR414248_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414248/ERR414248_2.fastq.gz
PRJEB5224	SAMEA2338640	Stool sample from danish	MH0271	ERR414249	PAIRED	8418523	559961844;566000384	584744562;590558570	ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414249/ERR414249_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414249/ERR414249_2.fastq.gz
PRJEB5224	SAMEA2338640	Stool sample from danish	MH0271	ERR414250	PAIRED	20641289	1412848476;1400997805	1471095324;1458857179	ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414250/ERR414250_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414250/ERR414250_2.fastq.gz
PRJEB5224	SAMEA2338641	Stool sample from danish	MH0280	ERR414251	PAIRED	34789898	2335634483;2473601551	2435712942;2572817861	ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414251/ERR414251_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414251/ERR414251_2.fastq.gz
PRJEB5224	SAMEA2338642	Stool sample from danish	MH0281	ERR414252	PAIRED	32348185	2266015505;2387432162	2358474615;2478627297	ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414252/ERR414252_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414252/ERR414252_2.fastq.gz
PRJEB5224	SAMEA2338643	Stool sample from danish	MH0283	ERR414253	PAIRED	8792608	593108950;596080621	619082027;621786685	ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414253/ERR414253_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414253/ERR414253_2.fastq.gz
PRJEB5224	SAMEA2338643	Stool sample from danish	MH0283	ERR414254	PAIRED	23731462	1655692799;1684469492	1726555051;1754699129	ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414254/ERR414254_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414254/ERR414254_2.fastq.gz
PRJEB5224	SAMEA2338644	Stool sample from danish	MH0284	ERR414255	PAIRED	34609295	2379283735;2458189185	2479195571;2557332822	ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414255/ERR414255_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414255/ERR414255_2.fastq.gz
PRJEB5224	SAMEA2338645	Stool sample from danish	MH0290	ERR414256	PAIRED	27385713	1881518697;1875098613	1955658642;1949267624	ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414256/ERR414256_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414256/ERR414256_2.fastq.gz
PRJEB5224	SAMEA2338646	Stool sample from danish	MH0293	ERR414257	PAIRED	22544272	1535969671;1569762706	1602995421;1636102113	ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414257/ERR414257_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414257/ERR414257_2.fastq.gz
PRJEB5224	SAMEA2338646	Stool sample from danish	MH0293	ERR414258	PAIRED	6102241	425443734;430246871	443150856;447791312	ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414258/ERR414258_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414258/ERR414258_2.fastq.gz
PRJEB5224	SAMEA2338647	Stool sample from danish	MH0297	ERR414259	PAIRED	25521548	1729571838;1756751344	1798877809;1825969651	ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414259/ERR414259_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414259/ERR414259_2.fastq.gz
PRJEB5224	SAMEA2338647	Stool sample from danish	MH0297	ERR414260	PAIRED	4292945	298641555;308794668	311121396;321123580	ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414260/ERR414260_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414260/ERR414260_2.fastq.gz
PRJEB5224	SAMEA2338648	Stool sample from danish	MH0298	ERR414261	PAIRED	25523850	1752365335;1762937784	1821458050;1832139978	ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414261/ERR414261_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414261/ERR414261_2.fastq.gz
PRJEB5224	SAMEA2338649	Stool sample from danish	MH0299	ERR414262	PAIRED	27742724	1896836873;1945740482	1979977054;2028018834	ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414262/ERR414262_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414262/ERR414262_2.fastq.gz
PRJEB5224	SAMEA2338650	Stool sample from danish	MH0301	ERR414263	PAIRED	25975935	1751843777;1787183598	1822350081;1857534440	ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414263/ERR414263_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414263/ERR414263_2.fastq.gz
PRJEB5224	SAMEA2338651	Stool sample from danish	MH0303	ERR414264	PAIRED	27889545	1980449506;2015785048	2063435375;2098371523	ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414264/ERR414264_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414264/ERR414264_2.fastq.gz
PRJEB5224	SAMEA2338652	Stool sample from danish	MH0308	ERR414265	PAIRED	32979390	2322513249;2442281455	2417092901;2535497847	ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414265/ERR414265_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414265/ERR414265_2.fastq.gz
PRJEB5224	SAMEA2338653	Stool sample from danish	MH0309	ERR414266	PAIRED	31260223	2231955203;2266932160	2325393899;2360009521	ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414266/ERR414266_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414266/ERR414266_2.fastq.gz
PRJEB5224	SAMEA2338654	Stool sample from danish	MH0310	ERR414267	PAIRED	34129357	2327292172;2481107255	2425799811;2578311110	ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414267/ERR414267_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414267/ERR414267_2.fastq.gz
PRJEB5224	SAMEA2338655	Stool sample from danish	MH0311	ERR414268	PAIRED	30876696	2148288931;2199340304	2240975765;2291718397	ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414268/ERR414268_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414268/ERR414268_2.fastq.gz
PRJEB5224	SAMEA2338656	Stool sample from danish	MH0314	ERR414269	PAIRED	23673708	1599120027;1621107932	1663753708;1685655339	ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414269/ERR414269_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414269/ERR414269_2.fastq.gz
PRJEB5224	SAMEA2338656	Stool sample from danish	MH0314	ERR414270	PAIRED	5349896	377835105;377116672	392380691;391573596	ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414270/ERR414270_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414270/ERR414270_2.fastq.gz
PRJEB5224	SAMEA2338657	Stool sample from danish	MH0315	ERR414271	PAIRED	21480450	1478933108;1493645534	1538779758;1553607664	ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414271/ERR414271_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414271/ERR414271_2.fastq.gz
PRJEB5224	SAMEA2338657	Stool sample from danish	MH0315	ERR414272	PAIRED	8480202	607473139;615586214	630523745;638294484	ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414272/ERR414272_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414272/ERR414272_2.fastq.gz
PRJEB5224	SAMEA2338658	Stool sample from danish	MH0319	ERR414273	PAIRED	31991715	2197212310;2220277580	2289373839;2311527131	ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414273/ERR414273_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414273/ERR414273_2.fastq.gz
PRJEB5224	SAMEA2338659	Stool sample from danish	MH0323	ERR414274	PAIRED	30885155	2098975472;2242171497	2187547929;2329447874	ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414274/ERR414274_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414274/ERR414274_2.fastq.gz
PRJEB5224	SAMEA2338660	Stool sample from danish	MH0325	ERR414275	PAIRED	28544439	2002490425;2112459608	2087777583;2197154887	ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414275/ERR414275_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414275/ERR414275_2.fastq.gz
PRJEB5224	SAMEA2338661	Stool sample from danish	MH0326	ERR414276	PAIRED	35123933	2403969730;2589413016	2505451820;2689890352	ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414276/ERR414276_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414276/ERR414276_2.fastq.gz
PRJEB5224	SAMEA2338662	Stool sample from danish	MH0327	ERR414277	PAIRED	28060305	1939557705;1979763616	2023424629;2063244442	ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414277/ERR414277_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414277/ERR414277_2.fastq.gz
PRJEB5224	SAMEA2338663	Stool sample from danish	MH0328	ERR414278	PAIRED	27505017	1910338914;1974149959	1992286333;2055709032	ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414278/ERR414278_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414278/ERR414278_2.fastq.gz
PRJEB5224	SAMEA2338664	Stool sample from danish	MH0329	ERR414279	PAIRED	33143312	2310352506;2528613415	2405163646;2621125367	ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414279/ERR414279_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414279/ERR414279_2.fastq.gz
PRJEB5224	SAMEA2338665	Stool sample from danish	MH0330	ERR414280	PAIRED	32716212	2236081836;2385304201	2330147313;2477990504	ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414280/ERR414280_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414280/ERR414280_2.fastq.gz
PRJEB5224	SAMEA2338666	Stool sample from danish	MH0332	ERR414281	PAIRED	34818620	2349341296;2538123117	2450414718;2638023842	ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414281/ERR414281_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414281/ERR414281_2.fastq.gz
PRJEB5224	SAMEA2338667	Stool sample from danish	MH0334	ERR414282	PAIRED	30872024	2119238428;2137767978	2204762301;2223237293	ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414282/ERR414282_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414282/ERR414282_2.fastq.gz
PRJEB5224	SAMEA2338668	Stool sample from danish	MH0335	ERR414283	PAIRED	28788076	1987791376;2019584845	2066662979;2098358180	ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414283/ERR414283_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414283/ERR414283_2.fastq.gz
PRJEB5224	SAMEA2338669	Stool sample from danish	MH0336	ERR414284	PAIRED	28516644	1874396226;1898689832	1952312964;1975824119	ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414284/ERR414284_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414284/ERR414284_2.fastq.gz
PRJEB5224	SAMEA2338670	Stool sample from danish	MH0337	ERR414285	PAIRED	26242843	1765852696;1778830186	1837119565;1849295620	ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414285/ERR414285_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414285/ERR414285_2.fastq.gz
PRJEB5224	SAMEA2338670	Stool sample from danish	MH0337	ERR414286	PAIRED	3484433	247620450;250759509	257472244;260518746	ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414286/ERR414286_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414286/ERR414286_2.fastq.gz
PRJEB5224	SAMEA2338671	Stool sample from danish	MH0338	ERR414287	PAIRED	31114769	2132443688;2143101584	2218513804;2228304467	ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414287/ERR414287_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414287/ERR414287_2.fastq.gz
PRJEB5224	SAMEA2338672	Stool sample from danish	MH0339	ERR414288	PAIRED	35883243	2429368594;2452552946	2531108064;2553319835	ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414288/ERR414288_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414288/ERR414288_2.fastq.gz
PRJEB5224	SAMEA2338673	Stool sample from danish	MH0340	ERR414289	PAIRED	32103936	2193956792;2287871350	2283531208;2377444997	ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414289/ERR414289_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414289/ERR414289_2.fastq.gz
PRJEB5224	SAMEA2338674	Stool sample from danish	MH0341	ERR414290	PAIRED	37423170	2562767301;2588014964	2669453701;2693660757	ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414290/ERR414290_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414290/ERR414290_2.fastq.gz
PRJEB5224	SAMEA2338675	Stool sample from danish	MH0342	ERR414291	PAIRED	36626268	2506187661;2487397802	2610352347;2590684116	ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414291/ERR414291_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414291/ERR414291_2.fastq.gz
PRJEB5224	SAMEA2338676	Stool sample from danish	MH0343	ERR414292	PAIRED	31723568	2188055953;2206231014	2276361167;2293629558	ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414292/ERR414292_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414292/ERR414292_2.fastq.gz
PRJEB5224	SAMEA2338677	Stool sample from danish	MH0345	ERR414293	PAIRED	38128322	2587655509;2554572789	2696523415;2662552708	ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414293/ERR414293_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414293/ERR414293_2.fastq.gz
PRJEB5224	SAMEA2338678	Stool sample from danish	MH0346	ERR414294	PAIRED	32308190	2217580641;2200793061	2308278650;2290684799	ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414294/ERR414294_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414294/ERR414294_2.fastq.gz
PRJEB5224	SAMEA2338679	Stool sample from danish	MH0347	ERR414295	PAIRED	26622357	1831882640;1866511613	1904461631;1938873125	ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414295/ERR414295_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414295/ERR414295_2.fastq.gz
PRJEB5224	SAMEA2338680	Stool sample from danish	MH0348	ERR414296	PAIRED	27002905	1854631165;1851748514	1928101722;1925290907	ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414296/ERR414296_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414296/ERR414296_2.fastq.gz
PRJEB5224	SAMEA2338681	Stool sample from danish	MH0349	ERR414297	PAIRED	31200569	2125192409;2134248217	2212294732;2220575425	ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414297/ERR414297_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414297/ERR414297_2.fastq.gz
PRJEB5224	SAMEA2338682	Stool sample from danish	MH0350	ERR414298	PAIRED	30488846	2194531904;2099914008	2277928732;2183142850	ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414298/ERR414298_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414298/ERR414298_2.fastq.gz
PRJEB5224	SAMEA2338683	Stool sample from danish	MH0351	ERR414299	PAIRED	24816352	1688003155;1723487454	1755271474;1790744017	ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414299/ERR414299_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414299/ERR414299_2.fastq.gz
PRJEB5224	SAMEA2338683	Stool sample from danish	MH0351	ERR414300	PAIRED	4605000	319654787;322374997	332226379;334845182	ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414300/ERR414300_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414300/ERR414300_2.fastq.gz
PRJEB5224	SAMEA2338684	Stool sample from danish	MH0354	ERR414301	PAIRED	30814046	2097830107;1970435263	2183516936;2057305459	ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414301/ERR414301_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414301/ERR414301_2.fastq.gz
PRJEB5224	SAMEA2338685	Stool sample from danish	MH0355	ERR414302	PAIRED	41570939	2986361787;2886404375	3102869434;3002318561	ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414302/ERR414302_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414302/ERR414302_2.fastq.gz
PRJEB5224	SAMEA2338686	Stool sample from danish	MH0356	ERR414303	PAIRED	31683663	2186765793;2070455366	2275540527;2160182874	ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414303/ERR414303_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414303/ERR414303_2.fastq.gz
PRJEB5224	SAMEA2338687	Stool sample from danish	MH0357	ERR414304	PAIRED	32969803	2199567237;2229622068	2291998080;2321452961	ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414304/ERR414304_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414304/ERR414304_2.fastq.gz
PRJEB5224	SAMEA2338688	Stool sample from danish	MH0358	ERR414305	PAIRED	31526143	2099595351;2025111306	2187456342;2112323378	ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414305/ERR414305_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414305/ERR414305_2.fastq.gz
PRJEB5224	SAMEA2338689	Stool sample from danish	MH0359	ERR414306	PAIRED	31266403	2127835003;2152352108	2214569584;2238788001	ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414306/ERR414306_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414306/ERR414306_2.fastq.gz
PRJEB5224	SAMEA2338690	Stool sample from danish	MH0360	ERR414307	PAIRED	32886843	2252384586;2272311590	2345011066;2364351856	ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414307/ERR414307_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414307/ERR414307_2.fastq.gz
PRJEB5224	SAMEA2338691	Stool sample from danish	MH0361	ERR414308	PAIRED	37789761	2593345405;2598385192	2700451727;2704801500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414308/ERR414308_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414308/ERR414308_2.fastq.gz
PRJEB5224	SAMEA2338692	Stool sample from danish	MH0362	ERR414309	PAIRED	35725059	2486420769;2498385998	2586938596;2598843894	ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414309/ERR414309_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414309/ERR414309_2.fastq.gz
PRJEB5224	SAMEA2338693	Stool sample from danish	MH0363	ERR414310	PAIRED	35140061	2432276978;2482453429	2532448150;2581497516	ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414310/ERR414310_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414310/ERR414310_2.fastq.gz
PRJEB5224	SAMEA2338694	Stool sample from danish	MH0364	ERR414311	PAIRED	32629988	2235169701;2324422232	2332899091;2421751964	ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414311/ERR414311_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR414/ERR414311/ERR414311_2.fastq.gz
